Date,NIT (mg/L) Surface MIN,NIT (mg/L) Surface MEAN,NIT (mg/L) Surface MEDIAN,NIT (mg/L) Surface MAX,NIT (mg/L) Bottom MIN,NIT (mg/L) Bottom MEAN,NIT (mg/L) Bottom MEDIAN,NIT (mg/L) Bottom MAX,AMM (mg/L) Surface MIN,AMM (mg/L) Surface MEAN,AMM (mg/L) Surface MEDIAN,AMM (mg/L) Surface MAX,AMM (mg/L) Bottom MIN,AMM (mg/L) Bottom MEAN,AMM (mg/L) Bottom MEDIAN,AMM (mg/L) Bottom MAX,FRP (mg/L) Surface MIN,FRP (mg/L) Surface MEAN,FRP (mg/L) Surface MEDIAN,FRP (mg/L) Surface MAX,FRP (mg/L) Bottom MIN,FRP (mg/L) Bottom MEAN,FRP (mg/L) Bottom MEDIAN,FRP (mg/L) Bottom MAX,TCHLA (ug/L) Surface MIN,TCHLA (ug/L) Surface MEAN,TCHLA (ug/L) Surface MEDIAN,TCHLA (ug/L) Surface MAX,TCHLA (ug/L) Bottom MIN,TCHLA (ug/L) Bottom MEAN,TCHLA (ug/L) Bottom MEDIAN,TCHLA (ug/L) Bottom MAX,Turbidity (NTU) Surface MIN,Turbidity (NTU) Surface MEAN,Turbidity (NTU) Surface MEDIAN,Turbidity (NTU) Surface MAX,Turbidity (NTU) Bottom MIN,Turbidity (NTU) Bottom MEAN,Turbidity (NTU) Bottom MEDIAN,Turbidity (NTU) Bottom MAX,Temperature (C) Surface MIN,Temperature (C) Surface MEAN,Temperature (C) Surface MEDIAN,Temperature (C) Surface MAX,Temperature (C) Bottom MIN,Temperature (C) Bottom MEAN,Temperature (C) Bottom MEDIAN,Temperature (C) Bottom MAX,Salinity (psu) Surface MIN,Salinity (psu) Surface MEAN,Salinity (psu) Surface MEDIAN,Salinity (psu) Surface MAX,Salinity (psu) Bottom MIN,Salinity (psu) Bottom MEAN,Salinity (psu) Bottom MEDIAN,Salinity (psu) Bottom MAX,TN (mg/L) Surface MIN,TN (mg/L) Surface MEAN,TN (mg/L) Surface MEDIAN,TN (mg/L) Surface MAX,TN (mg/L) Bottom MIN,TN (mg/L) Bottom MEAN,TN (mg/L) Bottom MEDIAN,TN (mg/L) Bottom MAX,TP (mg/L) Surface MIN,TP (mg/L) Surface MEAN,TP (mg/L) Surface MEDIAN,TP (mg/L) Surface MAX,TP (mg/L) Bottom MIN,TP (mg/L) Bottom MEAN,TP (mg/L) Bottom MEDIAN,TP (mg/L) Bottom MAX,Oxygen (mg/L) Surface MIN,Oxygen (mg/L) Surface MEAN,Oxygen (mg/L) Surface MEDIAN,Oxygen (mg/L) Surface MAX,Oxygen (mg/L) Bottom MIN,Oxygen (mg/L) Bottom MEAN,Oxygen (mg/L) Bottom MEDIAN,Oxygen (mg/L) Bottom MAX,
15/03/2017 00:00:00,0.0226,0.0526,0.0546,0.0842,0.0226,0.0526,0.0546,0.0842,0.0347,0.0623,0.0573,0.1252,0.0347,0.0623,0.0573,0.1252,0.0090,0.0212,0.0202,0.0418,0.0090,0.0212,0.0202,0.0418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.7149,21.7860,21.7619,22.0041,21.7149,21.7860,21.7619,22.0041,24.5924,27.4024,27.4487,29.3769,24.5924,27.4024,27.4487,29.3769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8703,7.5131,7.5222,7.9809,6.8703,7.5131,7.5222,7.9809,
15/03/2017 04:00:04,0.0274,0.0507,0.0468,0.0864,0.0215,0.0501,0.0514,0.0848,0.0368,0.0688,0.0691,0.1112,0.0368,0.0578,0.0518,0.1112,0.0128,0.0251,0.0253,0.0407,0.0099,0.0201,0.0191,0.0407,0.0000,29.1051,29.2540,36.6484,0.0000,27.1975,28.5492,36.2604,0.0000,1.7057,1.6549,2.1029,0.0000,1.6458,1.6491,2.0894,20.6114,21.4069,21.4272,21.7740,20.6114,21.6274,21.7372,21.8458,25.1569,27.0328,26.9646,29.0721,25.1542,27.8435,27.9561,29.3726,0.0000,2.0542,2.0343,2.2575,0.0000,2.0541,2.0687,2.2506,0.0000,0.1016,0.1037,0.1232,0.0000,0.0923,0.0938,0.1218,7.1100,7.4230,7.3939,7.7888,7.1063,7.4488,7.4546,7.7449,
15/03/2017 08:00:00,0.0266,0.0609,0.0603,0.0812,0.0194,0.0478,0.0477,0.0797,0.0393,0.0748,0.0730,0.1066,0.0390,0.0576,0.0531,0.1065,0.0147,0.0294,0.0295,0.0392,0.0101,0.0199,0.0195,0.0392,0.0000,32.5394,32.8890,38.3189,0.0000,25.7115,27.1545,36.7450,0.0000,1.8661,1.7988,2.2320,0.0000,1.6207,1.6391,2.1943,19.4639,20.9967,21.0156,21.2713,19.4639,21.5480,21.7188,21.8066,22.9535,25.6387,25.8031,28.6257,24.4092,27.8675,27.8609,29.3877,0.0000,2.1334,2.1170,2.3705,0.0000,2.0379,2.0418,2.3371,0.0000,0.1159,0.1157,0.1401,0.0000,0.0901,0.0932,0.1342,7.0982,7.4541,7.4725,7.6639,6.9714,7.3433,7.3328,7.6293,
15/03/2017 12:00:00,0.0287,0.0614,0.0705,0.0732,0.0197,0.0411,0.0396,0.0728,0.0377,0.0708,0.0703,0.0877,0.0376,0.0559,0.0514,0.0832,0.0148,0.0299,0.0299,0.0388,0.0098,0.0186,0.0171,0.0343,0.0000,34.9963,36.9099,39.7268,0.0000,23.1520,25.4355,39.4296,0.0000,1.9541,2.0571,2.2302,0.0000,1.5378,1.6073,2.2283,18.9151,21.7402,21.7729,21.9972,18.9151,21.6464,21.7186,21.8990,23.6308,25.2661,25.1697,28.4870,23.6330,27.9598,28.2839,29.4438,0.0000,2.1729,2.2157,2.3657,0.0000,1.9971,2.0012,2.3623,0.0000,0.1215,0.1236,0.1419,0.0000,0.0843,0.0868,0.1389,7.2812,7.5615,7.5990,7.7102,6.8638,7.2802,7.2590,7.6805,
15/03/2017 16:00:03,0.0192,0.0573,0.0640,0.0663,0.0166,0.0355,0.0323,0.0666,0.0363,0.0643,0.0639,0.0782,0.0306,0.0542,0.0522,0.0789,0.0155,0.0302,0.0299,0.0378,0.0103,0.0177,0.0161,0.0361,0.0000,37.8897,39.6452,41.9156,0.0000,21.6577,21.4830,41.5517,0.0000,2.0050,2.0931,2.2448,0.0000,1.4849,1.4953,2.2402,20.3043,22.8233,22.8454,23.0274,20.3043,21.8982,21.7410,23.0415,23.7272,25.1016,24.7630,28.1668,23.7647,28.0964,28.5050,29.4167,0.0000,2.1993,2.2399,2.3485,0.0000,1.9649,1.9699,2.3410,0.0000,0.1262,0.1306,0.1436,0.0000,0.0805,0.0782,0.1420,7.4369,7.6667,7.6904,7.7868,6.7697,7.2113,7.1150,7.7856,
15/03/2017 20:00:04,0.0176,0.0522,0.0572,0.0630,0.0131,0.0341,0.0311,0.0650,0.0385,0.0627,0.0627,0.0762,0.0385,0.0555,0.0541,0.0766,0.0168,0.0282,0.0274,0.0368,0.0108,0.0185,0.0165,0.0369,0.0000,35.1356,35.4471,41.1190,0.0000,21.8187,20.1103,40.8478,0.0000,1.9107,1.9268,2.1988,0.0000,1.4939,1.4709,2.1961,20.6562,22.2617,22.3252,22.7553,20.6562,21.9289,21.7347,22.8640,23.8823,25.7604,25.9015,28.0277,23.8807,27.9611,28.4860,29.3877,0.0000,2.1519,2.1646,2.3176,0.0000,1.9628,1.9614,2.3142,0.0000,0.1183,0.1174,0.1417,0.0000,0.0819,0.0770,0.1414,7.3256,7.5127,7.5153,7.6443,6.6263,7.1193,6.9968,7.6439,
16/03/2017 00:00:02,0.0197,0.0535,0.0587,0.0632,0.0083,0.0324,0.0298,0.0623,0.0427,0.0648,0.0641,0.0774,0.0427,0.0574,0.0557,0.0794,0.0177,0.0290,0.0281,0.0366,0.0110,0.0188,0.0167,0.0372,0.0000,35.1463,36.1248,39.8942,0.0000,20.9184,19.3837,38.9875,0.0000,1.9462,1.9908,2.1723,0.0000,1.4820,1.4568,2.1695,20.7353,21.9250,22.0007,22.3161,20.7353,21.8322,21.7220,22.7433,23.9822,25.5499,25.4535,27.9770,23.9817,27.9723,28.5067,29.3873,0.0000,2.1717,2.2012,2.2965,0.0000,1.9505,1.9535,2.2920,0.0000,0.1208,0.1220,0.1399,0.0000,0.0812,0.0764,0.1383,7.1926,7.4322,7.4429,7.5987,6.4271,6.9885,6.8866,7.5987,
16/03/2017 04:00:01,0.0212,0.0553,0.0591,0.0634,0.0067,0.0318,0.0284,0.0608,0.0507,0.0689,0.0689,0.0782,0.0490,0.0591,0.0573,0.0815,0.0208,0.0308,0.0306,0.0368,0.0109,0.0193,0.0167,0.0368,0.0000,35.2914,35.9019,38.8936,0.0000,20.5925,18.5809,38.3474,0.0000,1.9986,2.0344,2.2854,0.0000,1.4897,1.4385,2.2551,20.0812,21.5979,21.6473,21.9646,20.0812,21.7012,21.6938,22.6137,24.0391,25.3746,25.2627,27.4695,24.0991,27.9026,28.5280,29.3861,0.0000,2.1957,2.2202,2.3401,0.0000,1.9504,1.9416,2.3290,0.0000,0.1248,0.1262,0.1429,0.0000,0.0818,0.0755,0.1421,7.1511,7.3398,7.3457,7.4992,6.1291,6.8818,6.7624,7.4992,
16/03/2017 08:00:00,0.0238,0.0550,0.0585,0.0621,0.0059,0.0315,0.0284,0.0618,0.0542,0.0721,0.0734,0.0854,0.0536,0.0608,0.0588,0.0854,0.0217,0.0318,0.0322,0.0379,0.0109,0.0197,0.0167,0.0379,0.0000,34.7462,35.0203,39.7059,0.0000,20.2639,17.1753,39.3371,0.0000,2.0415,2.0367,2.6250,0.0000,1.4975,1.4004,2.6214,19.2342,21.2876,21.3680,21.7305,19.2342,21.5414,21.6599,22.2945,23.1551,25.2968,25.3598,27.4014,23.1540,27.8384,28.6073,29.4021,0.0000,2.2073,2.2121,2.4511,0.0000,1.9514,1.9203,2.4466,0.0000,0.1264,0.1275,0.1506,0.0000,0.0822,0.0723,0.1502,7.1861,7.2720,7.2728,7.3746,5.8413,6.8099,6.6537,7.3746,
16/03/2017 12:00:00,0.0227,0.0523,0.0550,0.0579,0.0014,0.0295,0.0262,0.0570,0.0493,0.0691,0.0696,0.0828,0.0489,0.0609,0.0590,0.0822,0.0240,0.0319,0.0321,0.0376,0.0113,0.0197,0.0167,0.0374,0.0000,36.2174,36.2104,41.8912,0.0000,19.9595,16.2627,39.7909,0.0000,2.0994,2.0532,2.9437,0.0000,1.4958,1.3808,2.8067,21.1643,22.0191,22.0559,22.3831,20.8640,21.6630,21.6584,22.3305,22.2047,25.0818,25.2307,26.9108,22.6790,27.8181,28.6168,29.4124,0.0000,2.2260,2.2167,2.5381,0.0000,1.9456,1.9031,2.4798,0.0000,0.1291,0.1290,0.1560,0.0000,0.0819,0.0710,0.1516,7.2684,7.3738,7.3690,7.6337,5.7917,6.7539,6.5503,7.6337,
16/03/2017 16:00:02,0.0141,0.0471,0.0491,0.0508,0.0031,0.0276,0.0248,0.0515,0.0346,0.0621,0.0631,0.0746,0.0346,0.0599,0.0593,0.0753,0.0231,0.0320,0.0323,0.0357,0.0117,0.0198,0.0173,0.0353,0.0000,39.6189,39.5664,43.2808,0.0000,20.4140,16.5916,39.0975,0.0000,2.2309,2.1614,3.0448,0.0000,1.5050,1.3973,2.4656,21.9797,23.2716,23.3046,23.9178,21.1497,22.0196,21.6905,23.9178,22.0123,24.5989,24.7757,26.5899,23.9473,27.7623,28.5310,29.4179,0.0000,2.2756,2.2609,2.5495,0.0000,1.9447,1.9127,2.3123,0.0000,0.1349,0.1344,0.1555,0.0000,0.0829,0.0731,0.1367,7.3221,7.5559,7.5629,7.9104,5.5937,6.7162,6.4569,7.9156,
16/03/2017 20:00:00,0.0113,0.0435,0.0463,0.0487,0.0002,0.0273,0.0252,0.0502,0.0363,0.0597,0.0615,0.0674,0.0363,0.0614,0.0612,0.0778,0.0240,0.0309,0.0311,0.0348,0.0120,0.0204,0.0179,0.0352,0.0000,38.4872,38.3319,42.0524,0.0000,20.4739,16.7795,41.3706,0.0000,2.1179,2.0782,2.6219,0.0000,1.5258,1.4210,2.6147,22.0861,23.0190,22.9831,23.6068,21.5159,22.0659,21.6926,23.6312,23.3828,25.0525,25.1774,26.4336,23.3864,27.6653,28.4398,29.3559,0.0000,2.2269,2.2203,2.4188,0.0000,1.9506,1.9082,2.4094,0.0000,0.1303,0.1298,0.1475,0.0000,0.0842,0.0746,0.1468,7.3960,7.4870,7.4869,7.7181,5.3402,6.6258,6.3889,7.7178,
